File Name,Hearing Date,Decision Date,Case Number,Address,Type,Section,Description,Decision,OCR Flag
2400 SIDNEY ST AKA S 24TH ST 076-14 (2).pdf,,,29 of 2004 granted Applicant’s request to change the occupancy the structure for,2400 Sidney Street/South 24” St.,Variance, 914.02.A,te parking spaces required; 0 requested (alternatively,"Decision: The Applicant's request for variances under Code Sections 914.01.F. and 914.02.Aand a Special Exception under Code Section 921.02.4.4 is hereby APPROVED WITHTHE FOLLOWING CONDITIONS subject to the opinion of the Zoning Board ofAdjustment:1.The hours of operation are limited to are 5:30 AM to 7:00 PM Monday throughFriday and 8:00 AM to 1:00 PM on Saturday and Sunday;2. The number of stationary bicycles or clients per class is limited to 50;3. The Applicant must obtain an Administrator's Exception for at least 9 parkingspaces at 2315 Wharton Street or another location within 1000 feet of theSubject Property;The Applicant must encourage or incentivize clients to utilize the parkingspaces at off-site location or parking garages and not to park on residentialstreets;The Applicant must limit sound emitted from the property to 55 dBA, whenmeasured from the property lines of the Subject Property;No subwoofers are permitted;Sound proofing shall be constructed to limit the sound emitted into thesurrounding neighborhood; Applicant shall submit an updated site plan thatdetails. the location and type of sound proofing to the Zoning Administrator forreview and approval; andNo live DJs are permitted before 8:00 AM.",True
2400 SIDNEY ST AKA S 24TH ST 076-14 (2).pdf,,,29 of 2004 granted Applicant’s request to change the occupancy the structure for,2400 Sidney Street/South 24” St.,Variance, 914.02.A,"review of parking requirement for use below 2,400 sq. ft.)","Decision: The Applicant's request for variances under Code Sections 914.01.F. and 914.02.Aand a Special Exception under Code Section 921.02.4.4 is hereby APPROVED WITHTHE FOLLOWING CONDITIONS subject to the opinion of the Zoning Board ofAdjustment:1.The hours of operation are limited to are 5:30 AM to 7:00 PM Monday throughFriday and 8:00 AM to 1:00 PM on Saturday and Sunday;2. The number of stationary bicycles or clients per class is limited to 50;3. The Applicant must obtain an Administrator's Exception for at least 9 parkingspaces at 2315 Wharton Street or another location within 1000 feet of theSubject Property;The Applicant must encourage or incentivize clients to utilize the parkingspaces at off-site location or parking garages and not to park on residentialstreets;The Applicant must limit sound emitted from the property to 55 dBA, whenmeasured from the property lines of the Subject Property;No subwoofers are permitted;Sound proofing shall be constructed to limit the sound emitted into thesurrounding neighborhood; Applicant shall submit an updated site plan thatdetails. the location and type of sound proofing to the Zoning Administrator forreview and approval; andNo live DJs are permitted before 8:00 AM.",True
2400 SIDNEY ST AKA S 24TH ST 076-14 (2).pdf,,,29 of 2004 granted Applicant’s request to change the occupancy the structure for,2400 Sidney Street/South 24” St.,Variance, 914.02.A,A sign identifying a nonconforming use needs review by the Zoning,"Decision: The Applicant's request for variances under Code Sections 914.01.F. and 914.02.Aand a Special Exception under Code Section 921.02.4.4 is hereby APPROVED WITHTHE FOLLOWING CONDITIONS subject to the opinion of the Zoning Board ofAdjustment:1.The hours of operation are limited to are 5:30 AM to 7:00 PM Monday throughFriday and 8:00 AM to 1:00 PM on Saturday and Sunday;2. The number of stationary bicycles or clients per class is limited to 50;3. The Applicant must obtain an Administrator's Exception for at least 9 parkingspaces at 2315 Wharton Street or another location within 1000 feet of theSubject Property;The Applicant must encourage or incentivize clients to utilize the parkingspaces at off-site location or parking garages and not to park on residentialstreets;The Applicant must limit sound emitted from the property to 55 dBA, whenmeasured from the property lines of the Subject Property;No subwoofers are permitted;Sound proofing shall be constructed to limit the sound emitted into thesurrounding neighborhood; Applicant shall submit an updated site plan thatdetails. the location and type of sound proofing to the Zoning Administrator forreview and approval; andNo live DJs are permitted before 8:00 AM.",True
2400 SIDNEY ST AKA S 24TH ST 076-14 (2).pdf,,,29 of 2004 granted Applicant’s request to change the occupancy the structure for,2400 Sidney Street/South 24” St.,Variance,919.01 is,Board of Adjustment,"Decision: The Applicant's request for variances under Code Sections 914.01.F. and 914.02.Aand a Special Exception under Code Section 921.02.4.4 is hereby APPROVED WITHTHE FOLLOWING CONDITIONS subject to the opinion of the Zoning Board ofAdjustment:1.The hours of operation are limited to are 5:30 AM to 7:00 PM Monday throughFriday and 8:00 AM to 1:00 PM on Saturday and Sunday;2. The number of stationary bicycles or clients per class is limited to 50;3. The Applicant must obtain an Administrator's Exception for at least 9 parkingspaces at 2315 Wharton Street or another location within 1000 feet of theSubject Property;The Applicant must encourage or incentivize clients to utilize the parkingspaces at off-site location or parking garages and not to park on residentialstreets;The Applicant must limit sound emitted from the property to 55 dBA, whenmeasured from the property lines of the Subject Property;No subwoofers are permitted;Sound proofing shall be constructed to limit the sound emitted into thesurrounding neighborhood; Applicant shall submit an updated site plan thatdetails. the location and type of sound proofing to the Zoning Administrator forreview and approval; andNo live DJs are permitted before 8:00 AM.",True
2400 SIDNEY ST AKA S 24TH ST 076-14 (2).pdf,,,29 of 2004 granted Applicant’s request to change the occupancy the structure for,2400 Sidney Street/South 24” St.,Special Exception,921.02.A.4,Change from a nonconforming use to another is Special Exception,"Decision: The Applicant's request for variances under Code Sections 914.01.F. and 914.02.Aand a Special Exception under Code Section 921.02.4.4 is hereby APPROVED WITHTHE FOLLOWING CONDITIONS subject to the opinion of the Zoning Board ofAdjustment:1.The hours of operation are limited to are 5:30 AM to 7:00 PM Monday throughFriday and 8:00 AM to 1:00 PM on Saturday and Sunday;2. The number of stationary bicycles or clients per class is limited to 50;3. The Applicant must obtain an Administrator's Exception for at least 9 parkingspaces at 2315 Wharton Street or another location within 1000 feet of theSubject Property;The Applicant must encourage or incentivize clients to utilize the parkingspaces at off-site location or parking garages and not to park on residentialstreets;The Applicant must limit sound emitted from the property to 55 dBA, whenmeasured from the property lines of the Subject Property;No subwoofers are permitted;Sound proofing shall be constructed to limit the sound emitted into thesurrounding neighborhood; Applicant shall submit an updated site plan thatdetails. the location and type of sound proofing to the Zoning Administrator forreview and approval; andNo live DJs are permitted before 8:00 AM.",True
2400 SIDNEY ST AKA S 24TH ST 076-14.pdf,"March 20, 2014","June 12, 2014",76 of 2014,"‘ 2400 Sidney Street/South 24"" St.",Variance, 914.02.A,"e below 2,400 sq. ft.) review of parking requirement for us","Decision: The Applicant's request for variances under Code Sections 914.01.F. and 914.02.and a Special Exception under Code Section 921.02.A.4 is hereby APPROVED WITHTHE FOLLOWING CONDITIONS subject to the opinion of the Zoning Board ofAdjustment:1. The hours of operation are limited to are 5:30 AM to 7:00 PM Monday throughFriday and 8:00 AM to 1:00 PM on Saturday and Sunday; *2. The number of stationary bicycles or clients per class is limited to 50;3. The Applicant must obtain an Administrator's Exception for at least 9 parkingspaces at 2315 Wharton Street or another location within 1000 feet of theSubject Property;4. The Applicant must encourage or incentivize clients to utilize the parkingspaces at off-site location or parking garages and not to park on residentialStreets;5. The Applicant must limit sound emitted from the property to 55 dBA, whenmeasured from the property lines of the Subject Property;6. No subwoofers are permitted;7. Sound proofing shall be constructed to limit the sound emitted-into thesurrounding neighborhood; Applicant shail submit an updated site plan thatdetails the location and type of sound proofing to the Zoning Administrator forreview and approval; and8. No live DJs are permitted before 8:00 AM. !",True
2400 SIDNEY ST AKA S 24TH ST 076-14.pdf,"March 20, 2014","June 12, 2014",76 of 2014,"‘ 2400 Sidney Street/South 24"" St.",Variance, 914.02.A,A sign identifyinga nonconforming use needs review by the Zoning,"Decision: The Applicant's request for variances under Code Sections 914.01.F. and 914.02.and a Special Exception under Code Section 921.02.A.4 is hereby APPROVED WITHTHE FOLLOWING CONDITIONS subject to the opinion of the Zoning Board ofAdjustment:1. The hours of operation are limited to are 5:30 AM to 7:00 PM Monday throughFriday and 8:00 AM to 1:00 PM on Saturday and Sunday; *2. The number of stationary bicycles or clients per class is limited to 50;3. The Applicant must obtain an Administrator's Exception for at least 9 parkingspaces at 2315 Wharton Street or another location within 1000 feet of theSubject Property;4. The Applicant must encourage or incentivize clients to utilize the parkingspaces at off-site location or parking garages and not to park on residentialStreets;5. The Applicant must limit sound emitted from the property to 55 dBA, whenmeasured from the property lines of the Subject Property;6. No subwoofers are permitted;7. Sound proofing shall be constructed to limit the sound emitted-into thesurrounding neighborhood; Applicant shail submit an updated site plan thatdetails the location and type of sound proofing to the Zoning Administrator forreview and approval; and8. No live DJs are permitted before 8:00 AM. !",True
2400 SIDNEY ST AKA S 24TH ST 076-14.pdf,"March 20, 2014","June 12, 2014",76 of 2014,"‘ 2400 Sidney Street/South 24"" St.",Variance,919.01.F,Board of Adjustment,"Decision: The Applicant's request for variances under Code Sections 914.01.F. and 914.02.and a Special Exception under Code Section 921.02.A.4 is hereby APPROVED WITHTHE FOLLOWING CONDITIONS subject to the opinion of the Zoning Board ofAdjustment:1. The hours of operation are limited to are 5:30 AM to 7:00 PM Monday throughFriday and 8:00 AM to 1:00 PM on Saturday and Sunday; *2. The number of stationary bicycles or clients per class is limited to 50;3. The Applicant must obtain an Administrator's Exception for at least 9 parkingspaces at 2315 Wharton Street or another location within 1000 feet of theSubject Property;4. The Applicant must encourage or incentivize clients to utilize the parkingspaces at off-site location or parking garages and not to park on residentialStreets;5. The Applicant must limit sound emitted from the property to 55 dBA, whenmeasured from the property lines of the Subject Property;6. No subwoofers are permitted;7. Sound proofing shall be constructed to limit the sound emitted-into thesurrounding neighborhood; Applicant shail submit an updated site plan thatdetails the location and type of sound proofing to the Zoning Administrator forreview and approval; and8. No live DJs are permitted before 8:00 AM. !",True
2400 SMALLMAN ST - 25-N-26 - ZBA CASE 097-20.pdf,,"August 14, 2020",,2400 Smallman Street,Special, Exception,Section 911.04.A.5 | Public assembly (limited) use in the RIV- IMU district | Section 914.07.G.2 (a) Off-site parking.,"Decision: The Applicant’s request for special exceptions from Code Sections 911.04.A.5and 914.07.G.2 (a) is hereby APPROVED, subject to the condition that the Applicantprovides the sound-proofing and other design measures intended to limit the impacts ofthe proposed use on the neighboring property, as described to the Board; and that thereservation of the 37 spaces. within the HUB Garage for the Proposed ut se is recorded inaccordance with Code Section 914.07.G. 2(aN(4)-",True
2401 E. Carson Street - 12-L-244 - 76 of 2021.pdf,"April 22, 2021 (Virtual Hearing)","June 4, 2021",76 of 2021,2401 E. Carson Street,Variance, Section 919.03.O.3/Section 919.02,Electronic non-advertising and advertising signs prohibited in LNC district,"Decision: The Applicant’s request for variances from Sections 919.03.O.3 and 919.02 toallow for the installation of an LED sign to display fuel prices is herebyAPPROVED to allow only static fuel price information, as required under stateregulation, and DENIED for “club” pricing. The Applicant’s request forvariances from Section 919.03.M.5.c is APPROVED, subject to the conditionthat the canopy signage does not extend above the canopy.",False
2401 E. Carson Street - 12-L-244 - 76 of 2021.pdf,"April 22, 2021 (Virtual Hearing)","June 4, 2021",76 of 2021,2401 E. Carson Street,Variance,Section 919.03.M.5.c,"8” maximum canopy sign letter height, 15” proposed","Decision: The Applicant’s request for variances from Sections 919.03.O.3 and 919.02 toallow for the installation of an LED sign to display fuel prices is herebyAPPROVED to allow only static fuel price information, as required under stateregulation, and DENIED for “club” pricing. The Applicant’s request forvariances from Section 919.03.M.5.c is APPROVED, subject to the conditionthat the canopy signage does not extend above the canopy.",False
2401 SMALLMAN ST - 25-N-40 - 051-20.pdf,"— March 12, 2020","April 27, 2020",51 of 2020,2401 Smaliman Street,None found,None found,None found,"Decision: The Applicant's request for variances from Code Sections 919.03.M.4(a) and919.03.M.5(c) is hereby APPROVED for the following signs, subject to the conditionthat no additional signs shail be permitted:* Smallman Street facade, 4 sf canopy sign with 9"" letters, with the text “Wigle;”* Smailman Street facade, 68 sf wall sign on the roof parapet, at a height of 19.5’. withthe text “Wigle Whiskey Distillery;""« 24"" Street facade, 50 sf wall-mounted sign on the elevator tower, 42° from grade, withthe text “Wigle;”* Interior side facade (facing parking fot property at 2419 Smaliman Street), 3 signsproposed, with a total area of 130 sf:© 30 sf painted wall sign with the text “Whiskey in herel”,¢ §0 sf sign on the comer of the building, with the text ‘Wigle:” (existing sign, butnot approved by the City or identified on a Certificate of Occupancy)© 50 sf wall-mounted sign on the elevator tower, 42° from grade, with the text“Wigle;""",True
2403 - SIDNEY ST - ZBA CASE 259-18.pdf,"October 18, 2018","November 15, 2018",259 of 2018,2403 Sidney Street,Variance, 919.03.M.6(a),requested,Decision: The Applicant’s request for a variance from Code Section 919.03.M.6(a) is herebyAPPROVED.John J. Richardson,True
2406 N MEADOWCROFT AVE - 298-17.pdf,". September 7, 2017","October 5, 2017",298 of 2017,2406 N Meadowcroft Avenue,Variance, | 903.03.B.2,Minimum 30ft front setback required and 20ft requested,Decision: The Applicant’s request for a variance from Code Section 903.03.B.2 is herebyAPPROVED. ;LaShawn Burton-Faulk,True
2407 CRAFTMONT AVE - 68-M-56 - ZBA CASE 190-19.pdf,"September 5, 2019","October 10, 2019",190 of 2019,2407 Craftmont Avenue,None found,None found,None found,"Decision: The Applicant’s request for a variance from Code Section 903.03.B.2 is herebyAPPROVED, subject to the condition that the open fence is not replaced with aprivacy fence.John J. Richardson",True
2409 SHADY AVE - 87-H-250 - ZBA CASE 197-19.pdf,"September 19, 2019","October 24, 2019",197 of 2019,2409 Shady Avenue,Variance, 919.03.N.2(a),Maximum 12 sq. ft. in sign face area permitted; 50 sq. ft.,"Decision: The Applicant’s request for a variance from Code Section 919.03.N.2(a) is herebyAPPROVED, subject to the condition that the sign shall include no electroniccomponents.asvawn Burton-Faulk John J. Richardson",True
2409 SHADY AVE - 87-H-250 - ZBA CASE 197-19.pdf,"September 19, 2019","October 24, 2019",197 of 2019,2409 Shady Avenue,Variance, 919.03.N.2(a),proposed ;,"Decision: The Applicant’s request for a variance from Code Section 919.03.N.2(a) is herebyAPPROVED, subject to the condition that the sign shall include no electroniccomponents.asvawn Burton-Faulk John J. Richardson",True
241 N Aiken Ave - 50-M-29 - 33 of 2022.pdf,"April 14, 2022 (Virtual Hearing)","May 13, 2022",33 of 2022,241 N. Aiken Avenue,Variance, Section 912.04.K,6’ high fence between primary structure and street prohibited,Decision: The Applicant’s request for a variance from Section 912.04.K to allow a 6’ highfence in an exterior side yard is hereby APPROVED.,False
241 W SYCAMORE ST - 080-17.pdf,"February 16, 2017","April 6, 2017",80 of 2017,241 W Sycamore Street,Special Exception, 914.07.G.2,is a Special Exception Off-site parking,"Decision: The Applicant's request for a special exception pursuant to Code Section 914.07.G.2to allow off-site parking and dimensional variances from Code Sections 903.03.D.2and 912.04.B are hereby APPROVED, subject to the following conditions:1. The parking lot shall not be used as a commercial parking lot and may only beused for off-site parking for residential units that are located within 1,000’ of theSubject Property and are within the Applicant’s ownership or control or subjectto a written and recorded agreement;2. No advertising for the availability of parking leases can be located on the SubjectProperty;3. The Applicant shall provide landscaping and screening for the parking lot; and4. The Applicant must submit a revised plan for the parking lot, that. includesappropriate landscaping and screening, and must obtain site-plan approval.ichardson",True
241 W SYCAMORE ST - 080-17.pdf,"February 16, 2017","April 6, 2017",80 of 2017,241 W Sycamore Street,Special Exception, 914.07.G.2,Minimum 15ft front setback required and Oft requested,"Decision: The Applicant's request for a special exception pursuant to Code Section 914.07.G.2to allow off-site parking and dimensional variances from Code Sections 903.03.D.2and 912.04.B are hereby APPROVED, subject to the following conditions:1. The parking lot shall not be used as a commercial parking lot and may only beused for off-site parking for residential units that are located within 1,000’ of theSubject Property and are within the Applicant’s ownership or control or subjectto a written and recorded agreement;2. No advertising for the availability of parking leases can be located on the SubjectProperty;3. The Applicant shall provide landscaping and screening for the parking lot; and4. The Applicant must submit a revised plan for the parking lot, that. includesappropriate landscaping and screening, and must obtain site-plan approval.ichardson",True
241 W SYCAMORE ST - 080-17.pdf,"February 16, 2017","April 6, 2017",80 of 2017,241 W Sycamore Street,Variance,903.03.D.2,Minimum 15ft exterior side setback required and 7ft requested,"Decision: The Applicant's request for a special exception pursuant to Code Section 914.07.G.2to allow off-site parking and dimensional variances from Code Sections 903.03.D.2and 912.04.B are hereby APPROVED, subject to the following conditions:1. The parking lot shall not be used as a commercial parking lot and may only beused for off-site parking for residential units that are located within 1,000’ of theSubject Property and are within the Applicant’s ownership or control or subjectto a written and recorded agreement;2. No advertising for the availability of parking leases can be located on the SubjectProperty;3. The Applicant shall provide landscaping and screening for the parking lot; and4. The Applicant must submit a revised plan for the parking lot, that. includesappropriate landscaping and screening, and must obtain site-plan approval.ichardson",True
241 W SYCAMORE ST - 080-17.pdf,"February 16, 2017","April 6, 2017",80 of 2017,241 W Sycamore Street,Variance,912.04.B,Minimum 5ft rear setback required and Oft requested,"Decision: The Applicant's request for a special exception pursuant to Code Section 914.07.G.2to allow off-site parking and dimensional variances from Code Sections 903.03.D.2and 912.04.B are hereby APPROVED, subject to the following conditions:1. The parking lot shall not be used as a commercial parking lot and may only beused for off-site parking for residential units that are located within 1,000’ of theSubject Property and are within the Applicant’s ownership or control or subjectto a written and recorded agreement;2. No advertising for the availability of parking leases can be located on the SubjectProperty;3. The Applicant shall provide landscaping and screening for the parking lot; and4. The Applicant must submit a revised plan for the parking lot, that. includesappropriate landscaping and screening, and must obtain site-plan approval.ichardson",True
2413 Saint Norbert St - 138-B-139 - 288 of 2022.pdf,"February 2, 2023 (Virtual Hearing)","March 19, 2023",288 of 2022,2413 Saint Norbert Street,Variance, Section 919.03.E.1,"30 sf maximum bulletin board area, 65 sf requested","Decision: The Applicant’s request for a variance from Section 919.03.E.1 to install a 65 sfbulletin board sign is hereby APPROVED, subject to the condition that noadditional ground signs are proposed for the Subject Property.",False
2413 SAINT NORBERT ST - 138-B-168 - ZBA CASE 085-20.pdf,"June 18, 2020 (Virtual Hearing)","July 13, 2020",85 of 2020,2413 Saint Norbert Street,Variance,,"Maximum 12 sf sign face area permitted, 65 sf proposed",Decision: The Applicants request for a variance from Code Section 919.03.N.2 is herebyAPPROVED,True
2413 SAINT NORBERT ST - 138-B-168 - ZBA CASE 085-20.pdf,"June 18, 2020 (Virtual Hearing)","July 13, 2020",85 of 2020,2413 Saint Norbert Street,Variance,,919.03.M.1 Ground signs must be on the same zoning lotas the business identified,Decision: The Applicants request for a variance from Code Section 919.03.N.2 is herebyAPPROVED,True
2415 Leticoe Street - 12-R-149 - Case 58 of 2022.pdf,"March 17, 2022 (Virtual Hearing)","May 1, 2022",58 of 2022,2415 Leticoe Street,Special Exception, Section 911.02/and 911.04.A.69,Single-unit attached residential use,Decision: The Applicant’s request for a special exception pursuant to Sections 911.02and 911.04.A.69 to allow the construction of a single-unit attached structure ishereby APPROVED.,False
2417 BROWNSVILLE RD - 94-J-196 - ZBA CASE 223-19.pdf,"October 24, 2019","December 5, 2019",223 of 2019,2417 Brownsville Road,Special, 916.04.B /,Dumpster must be at least 30 ft. away from any zoned,Decision: The Applicant’s request for variances from Code Sections 915.02.A.1.e and922.04.E.3.e.i and special exception pursuant to Code Section 916.09 is herebyAPPROVED; subject to the conditions compliance with the approved landscapingplan for the site and provision of appropriate screening for the dumpster.JohrtJ. Richaydson,True
2419 SMALLMAN ST  176-14.pdf,"July 31, 2014","October 2, 2014",,2419 Smailman Street,Special Exception, | 904.07.C.5,3:1 FAR permitted; 4.57:1 requested,"Decision: The Applicant’s request for variances pursuant to Code Sections 922.04.E.2.c.i,922.04.E.2.d.i-iii, 922.04.E.2.e, 914.010.A, 918.02.C, 918.03.A, and 915.02.A.d ishereby APPROVED WITH THE FOLLOWING CONDITIONS subject to the opinion ofthe Zoning Board of Adjustment:1. The Applicant must submit updated site plans and floor plans to the ZoningAdministrator for review and approval.2. The Applicant must submit updated elevation drawings and renderings toPlanning Department staff for Staff Design Review.3. The Applicant must submit an updated landscaping and street tree plan to theZoning Administrator for review and approval that meets the AlternativeCompliance provisions of Section 918.06.of the Code.RECUSEDAlice B. Mitinger, Chair",True
2419 SMALLMAN ST  176-14.pdf,"July 31, 2014","October 2, 2014",,2419 Smailman Street,Special Exception,911.02,tae : a . oo ga Multi-Unit Residential is a Special Exception in the UI District,"Decision: The Applicant’s request for variances pursuant to Code Sections 922.04.E.2.c.i,922.04.E.2.d.i-iii, 922.04.E.2.e, 914.010.A, 918.02.C, 918.03.A, and 915.02.A.d ishereby APPROVED WITH THE FOLLOWING CONDITIONS subject to the opinion ofthe Zoning Board of Adjustment:1. The Applicant must submit updated site plans and floor plans to the ZoningAdministrator for review and approval.2. The Applicant must submit updated elevation drawings and renderings toPlanning Department staff for Staff Design Review.3. The Applicant must submit an updated landscaping and street tree plan to theZoning Administrator for review and approval that meets the AlternativeCompliance provisions of Section 918.06.of the Code.RECUSEDAlice B. Mitinger, Chair",True
2419 SMALLMAN ST  176-14.pdf,"July 31, 2014","October 2, 2014",,2419 Smailman Street,Variance,| 914.09.F,Garage doors and entrance gates must have at least 20° clearance from the sidewalk and street rights-of-was; 9’ requested,"Decision: The Applicant’s request for variances pursuant to Code Sections 922.04.E.2.c.i,922.04.E.2.d.i-iii, 922.04.E.2.e, 914.010.A, 918.02.C, 918.03.A, and 915.02.A.d ishereby APPROVED WITH THE FOLLOWING CONDITIONS subject to the opinion ofthe Zoning Board of Adjustment:1. The Applicant must submit updated site plans and floor plans to the ZoningAdministrator for review and approval.2. The Applicant must submit updated elevation drawings and renderings toPlanning Department staff for Staff Design Review.3. The Applicant must submit an updated landscaping and street tree plan to theZoning Administrator for review and approval that meets the AlternativeCompliance provisions of Section 918.06.of the Code.RECUSEDAlice B. Mitinger, Chair",True
2419 SMALLMAN ST  176-14.pdf,"July 31, 2014","October 2, 2014",,2419 Smailman Street,Variance,914.09.H.1,1 off-street loading space required; 0 requested,"Decision: The Applicant’s request for variances pursuant to Code Sections 922.04.E.2.c.i,922.04.E.2.d.i-iii, 922.04.E.2.e, 914.010.A, 918.02.C, 918.03.A, and 915.02.A.d ishereby APPROVED WITH THE FOLLOWING CONDITIONS subject to the opinion ofthe Zoning Board of Adjustment:1. The Applicant must submit updated site plans and floor plans to the ZoningAdministrator for review and approval.2. The Applicant must submit updated elevation drawings and renderings toPlanning Department staff for Staff Design Review.3. The Applicant must submit an updated landscaping and street tree plan to theZoning Administrator for review and approval that meets the AlternativeCompliance provisions of Section 918.06.of the Code.RECUSEDAlice B. Mitinger, Chair",True
2419 SMALLMAN ST  176-14.pdf,"July 31, 2014","October 2, 2014",,2419 Smailman Street,Variance,922.04.E.1.g,Landscaped edge outside of the right-of-way along the street,"Decision: The Applicant’s request for variances pursuant to Code Sections 922.04.E.2.c.i,922.04.E.2.d.i-iii, 922.04.E.2.e, 914.010.A, 918.02.C, 918.03.A, and 915.02.A.d ishereby APPROVED WITH THE FOLLOWING CONDITIONS subject to the opinion ofthe Zoning Board of Adjustment:1. The Applicant must submit updated site plans and floor plans to the ZoningAdministrator for review and approval.2. The Applicant must submit updated elevation drawings and renderings toPlanning Department staff for Staff Design Review.3. The Applicant must submit an updated landscaping and street tree plan to theZoning Administrator for review and approval that meets the AlternativeCompliance provisions of Section 918.06.of the Code.RECUSEDAlice B. Mitinger, Chair",True
2419 SMALLMAN ST  176-14.pdf,"July 31, 2014","October 2, 2014",,2419 Smailman Street,Variance,922.04.E.1.g,"required, none requested","Decision: The Applicant’s request for variances pursuant to Code Sections 922.04.E.2.c.i,922.04.E.2.d.i-iii, 922.04.E.2.e, 914.010.A, 918.02.C, 918.03.A, and 915.02.A.d ishereby APPROVED WITH THE FOLLOWING CONDITIONS subject to the opinion ofthe Zoning Board of Adjustment:1. The Applicant must submit updated site plans and floor plans to the ZoningAdministrator for review and approval.2. The Applicant must submit updated elevation drawings and renderings toPlanning Department staff for Staff Design Review.3. The Applicant must submit an updated landscaping and street tree plan to theZoning Administrator for review and approval that meets the AlternativeCompliance provisions of Section 918.06.of the Code.RECUSEDAlice B. Mitinger, Chair",True
242 51st Street - 80-G-106 - 233 of 2021.pdf,"March 10, 2022 (Virtual Hearing)","April 25, 2022",233 of 2021,242 51st Street,Variance, Section 912.04.C,"Minimum 10’ interior side setback required, 0’ requested for dumpster enclosure",Decision: The Applicant’s request for variances from Section 912.04.C to allow theconstruction of a dumpster enclosure with 0’ interior side and rear setbacks ishereby APPROVED.,False
242 51st Street - 80-G-106 - 233 of 2021.pdf,"March 10, 2022 (Virtual Hearing)","April 25, 2022",233 of 2021,242 51st Street,Variance, Section 912.04.C,"Minimum 5’ rear seback required, 0’ requested for dumpster enclosure",Decision: The Applicant’s request for variances from Section 912.04.C to allow theconstruction of a dumpster enclosure with 0’ interior side and rear setbacks ishereby APPROVED.,False
242 BIGHAM ST - 4-A-24 - ZBA CASE 125-20.pdf,,,125 of 2020,242 Bigham Street,Variance,,Section 925.06.A.2 Fences within exterior side,"Decision: The Applicant’s request for variances from Sections 925.06.A, 903.03.D.1 and912.04.B is hereby APPROVED, subject to confirmation of encroachment permits fromDOMI with respect to the Sycamore Street and Redoak Way rights-of-way.",True
242 BIGHAM ST - 4-A-24 - ZBA CASE 125-20.pdf,,,125 of 2020,242 Bigham Street,Variance,,setback must be no taller,"Decision: The Applicant’s request for variances from Sections 925.06.A, 903.03.D.1 and912.04.B is hereby APPROVED, subject to confirmation of encroachment permits fromDOMI with respect to the Sycamore Street and Redoak Way rights-of-way.",True
242 BIGHAM ST - 4-A-24 - ZBA CASE 125-20.pdf,,,125 of 2020,242 Bigham Street,Variance,,"than 4’ and open, 6’ privacy fence requested","Decision: The Applicant’s request for variances from Sections 925.06.A, 903.03.D.1 and912.04.B is hereby APPROVED, subject to confirmation of encroachment permits fromDOMI with respect to the Sycamore Street and Redoak Way rights-of-way.",True
242 BIGHAM ST - 4-A-24 - ZBA CASE 125-20.pdf,,,125 of 2020,242 Bigham Street,Variance,,"Minimum interior side setback
Section 903.03.D.1 is 5’; 2’ requested","Decision: The Applicant’s request for variances from Sections 925.06.A, 903.03.D.1 and912.04.B is hereby APPROVED, subject to confirmation of encroachment permits fromDOMI with respect to the Sycamore Street and Redoak Way rights-of-way.",True
242 BIGHAM ST - 4-A-24 - ZBA CASE 125-20.pdf,,,125 of 2020,242 Bigham Street,Variance,,Minimum exterior side,"Decision: The Applicant’s request for variances from Sections 925.06.A, 903.03.D.1 and912.04.B is hereby APPROVED, subject to confirmation of encroachment permits fromDOMI with respect to the Sycamore Street and Redoak Way rights-of-way.",True
242 BIGHAM ST - 4-A-24 - ZBA CASE 125-20.pdf,,,125 of 2020,242 Bigham Street,Variance,,setback is 15’; 3’ requested,"Decision: The Applicant’s request for variances from Sections 925.06.A, 903.03.D.1 and912.04.B is hereby APPROVED, subject to confirmation of encroachment permits fromDOMI with respect to the Sycamore Street and Redoak Way rights-of-way.",True
242 BIGHAM ST - 4-A-24 - ZBA CASE 125-20.pdf,,,125 of 2020,242 Bigham Street,Variance,,Minimum rear setback for,"Decision: The Applicant’s request for variances from Sections 925.06.A, 903.03.D.1 and912.04.B is hereby APPROVED, subject to confirmation of encroachment permits fromDOMI with respect to the Sycamore Street and Redoak Way rights-of-way.",True
242 BIGHAM ST - 4-A-24 - ZBA CASE 125-20.pdf,,,125 of 2020,242 Bigham Street,Variance,,"Section 912.04.B accessory structures is 5’, 3’","Decision: The Applicant’s request for variances from Sections 925.06.A, 903.03.D.1 and912.04.B is hereby APPROVED, subject to confirmation of encroachment permits fromDOMI with respect to the Sycamore Street and Redoak Way rights-of-way.",True
242 BIGHAM ST - 4-A-24 - ZBA CASE 125-20.pdf,,,125 of 2020,242 Bigham Street,Variance,,requested,"Decision: The Applicant’s request for variances from Sections 925.06.A, 903.03.D.1 and912.04.B is hereby APPROVED, subject to confirmation of encroachment permits fromDOMI with respect to the Sycamore Street and Redoak Way rights-of-way.",True
2429 Charcot Street - 13-L-211 - 81 of 2023.pdf,"July 6, 2023 (Virtual Hearing)","August 16, 2023",81 of 2023,2429 Charcot Street,Variance, Section 911.02,Child Care (General) is not permitted in the R2 District,"Decision: The Applicant’s request for variances from Sections 911.02 and 914.02 to allowthe conversion of the former school building into a child care and communitycenter with a 10-space parking lot is hereby APPROVED, subject to thecondition that the child care facility receives all necessary approvals from thePennsylvania Department of Human Services.",False
